Month,Price
Jul 2016,103.17
Aug 2016,103.94
Sep 2016,104.46
Oct 2016,115.85
Nov 2016,107.41
Dec 2016,126.7
Jan 2017,128.75
Feb 2017,130.13
Mar 2017,121.94
Apr 2017,124.52
May 2017,117.84
Jun 2017,108.21
Jul 2017,110.83
Aug 2017,114.85
Sep 2017,120.9
Oct 2017,126.43
Nov 2017,138.15
Dec 2017,140.34
Jan 2018,149.22
Feb 2018,141.81
Mar 2018,143.34
Apr 2018,153.86
May 2018,167.08
Jun 2018,165.24
Jul 2018,167.92
Aug 2018,165.28
Sep 2018,174.66
Oct 2018,179.06
Nov 2018,146.29
Dec 2018,126.08
Jan 2019,131.42
Feb 2019,142.53
Mar 2019,148.86
Apr 2019,160.45
May 2019,157.12
Jun 2019,139.92
Jul 2019,144.45
Aug 2019,136.17
Sep 2019,142.33
Oct 2019,135.55
Nov 2019,142.6
Dec 2019,149.22
Jan 2020,145.14
Feb 2020,126.53
Mar 2020,76.22
Apr 2020,50.45
May 2020,72.25
Jun 2020,92.83
Jul 2020,98.08
Aug 2020,99.85
Sep 2020,93.32
Oct 2020,91.57
Nov 2020,96.88
Dec 2020,110.07
Jan 2021,120.32
Feb 2021,136.26
Mar 2021,145.1
Apr 2021,142.87
May 2021,149.65
Jun 2021,162.28
Jul 2021,167.08
Aug 2021,157.23
Sep 2021,166.18
Oct 2021,188.48
Nov 2021,184.64
