Month,Price
Nov 2017,1259.55
Dec 2017,1231.43
Jan 2018,1180.22
Feb 2018,1160
Mar 2018,1227.05
Apr 2018,1379.76
May 2018,1450
Jun 2018,1503.33
Jul 2018,1450.91
Aug 2018,1405.45
Sep 2018,1380
Oct 2018,1265.22
Nov 2018,1223.86
Dec 2018,1212.63
Jan 2019,1235.22
Feb 2019,1367.5
Mar 2019,1383.33
Apr 2019,1318.5
May 2019,1312.86
Jun 2019,1315
Jul 2019,1260
Aug 2019,1252.38
Sep 2019,1321.43
Oct 2019,1358.7
Nov 2019,1400
Dec 2019,1450
Jan 2020,1500
Feb 2020,1718.75
Mar 2020,1868.18
Apr 2020,2050
May 2020,2050
Jun 2020,2050
Jul 2020,1984.78
Aug 2020,1929.76
Sep 2020,1663.64
Oct 2020,1532.73
Nov 2020,1607.14
Dec 2020,1937.5
Jan 2021,1892.86
Feb 2021,1875
Mar 2021,1623.04
Apr 2021,1426.82
May 2021,1450
Jun 2021,1450
Jul 2021,1456.82
Aug 2021,1443.18
Sep 2021,1476.14
Oct 2021,1539.29
Nov 2021,1498.61
